rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
8.14,0.05,8123,208370,25,120.32,2340,51842,0.2250053733587265,0.0001,,
8.32,0.05,8172,209636,25,118.08,2350,52158,0.15068185329437256,0.0001,,
7.73,0.05,8199,210315,25,111.35,2360,52328,0.10169664770364761,0.0001,,
8.02,0.05,8251,211643,25,111.62,2370,52660,0.07862735539674759,0.0001,,
7.96,0.05,8292,212708,25,112.35,2380,52926,0.18320798873901367,0.0001,,
8.03,0.05,8332,213720,25,111.38,2390,53179,0.25982508063316345,0.0001,,
8.01,0.05,8374,214791,25,109.98,2400,53447,0.08448736369609833,0.0001,,
8.04,0.05,8432,216267,25,111.72,2410,53816,0.07947584986686707,0.0001,,
8.14,0.05,8478,217421,25,114.37,2420,54105,0.2337237000465393,0.0001,,
8.26,0.05,8522,218532,25,113.07,2430,54382,0.13007310032844543,0.0001,,
8.6,0.05,8583,220095,25,117.25,2440,54773,0.16365765035152435,0.0001,,
8.31,0.05,8623,221082,25,114.46,2450,55020,0.10113206505775452,0.0001,,
8.77,0.05,8671,222290,25,119.75,2460,55322,0.17115269601345062,0.0001,,
8.78,0.05,8717,223475,25,118.32,2470,55618,0.10857896506786346,0.0001,,
8.93,0.05,8762,224609,25,119.01,2480,55902,0.061597052961587906,0.0001,,
8.9,0.05,8807,225763,25,120.43,2490,56190,0.06233036890625954,0.0001,,
8.84,0.05,8843,226684,25,118.93,2500,56420,0.0628826692700386,0.0001,,
8.75,0.05,8892,227918,25,116.51,2510,56729,0.10859774798154831,0.0001,,
8.72,0.05,8931,228867,25,114.46,2520,56966,0.1357824057340622,0.0001,,
8.63,0.05,8980,230120,25,115.88,2530,57279,0.04441972076892853,0.0001,,
8.39,0.05,9032,231436,25,113.41,2540,57608,0.1408868283033371,0.0001,,
8.65,0.05,9078,232610,25,115.28,2550,57902,0.06606916338205338,0.0001,,
8.59,0.05,9122,233719,25,114.29,2560,58179,0.09883926063776016,0.0001,,
8.38,0.05,9165,234833,25,113.58,2570,58458,0.0475585013628006,0.0001,,
8.28,0.05,9217,236156,25,115.47,2580,58788,0.0453709214925766,0.0001,,
8.04,0.05,9256,237116,25,113.53,2590,59028,0.08192944526672363,0.0001,,
8.45,0.05,9309,238465,25,117.81,2600,59366,0.04783839359879494,0.0001,,
8.88,0.05,9389,240394,25,124.76,2610,59848,0.2402249276638031,0.0001,,
8.98,0.05,9432,241478,25,126.11,2620,60119,0.11965975165367126,0.0001,,
9.04,0.05,9473,242508,25,123.88,2630,60376,0.07345888763666153,0.0001,,
8.83,0.05,9503,243260,25,118.24,2640,60564,0.1372145116329193,0.0001,,
8.53,0.05,9542,244213,25,116.03,2650,60803,0.07562897354364395,0.0001,,
8.67,0.05,9613,245992,25,122.73,2660,61247,0.03645126521587372,0.0001,,
8.61,0.05,9648,246875,25,120.42,2670,61468,0.07126492261886597,0.0001,,
8.88,0.05,9701,248202,25,120.46,2680,61800,0.3221571445465088,0.0001,,
9.27,0.05,9748,249363,25,122.47,2690,62090,0.044692251831293106,0.0001,,
,0.05,,250000,,,,62249,0.058614615350961685,0.0001,81.4,4.6
9.21,0.05,9808,250812,25,123.47,2700,62452,0.07069707661867142,0.0001,,
8.76,0.05,9857,252030,25,116.36,2710,62757,0.08302956074476242,0.0001,,
9.02,0.05,9911,253317,25,118.39,2720,63079,0.12342984974384308,0.0001,,
8.89,0.05,9961,254599,25,120.91,2730,63399,0.15870022773742676,0.0001,,
9.07,0.05,10004,255681,25,124.21,2740,63670,0.17557579278945923,0.0001,,
9.35,0.05,10063,257163,25,129.5,2750,64040,0.27435198426246643,0.0001,,
9.18,0.05,10105,258199,25,122.07,2760,64299,0.12241726368665695,0.0001,,
9.4,0.05,10151,259351,25,124.76,2770,64587,0.29902321100234985,0.0001,,
9.08,0.05,10186,260244,25,120.42,2780,64810,0.15511289238929749,0.0001,,
9.19,0.05,10237,261546,25,121.83,2790,65136,0.14187172055244446,0.0001,,
9.13,0.05,10289,262859,25,120.47,2800,65464,0.12623335421085358,0.0001,,
9.22,0.05,10333,264000,25,119.7,2810,65749,0.13364124298095703,0.0001,,
9.26,0.05,10382,265228,25,119.11,2820,66056,0.1999160796403885,0.0001,,
9.12,0.05,10413,265998,25,113.99,2830,66249,0.050429366528987885,0.0001,,
9.25,0.05,10464,267279,25,115.98,2840,66569,0.16857978701591492,0.0001,,
9.19,0.05,10506,268347,25,111.84,2850,66836,0.03741815686225891,0.0001,,
9.47,0.05,10559,269659,25,114.6,2860,67164,0.062041349709033966,0.0001,,
9.24,0.05,10591,270455,25,111.04,2870,67363,0.16166536509990692,0.0001,,
9.1,0.05,10627,271350,25,111.06,2880,67587,0.0690583810210228,0.0001,,
8.79,0.05,10677,272558,25,110.12,2890,67889,0.04205857589840889,0.0001,,
8.66,0.05,10715,273509,25,106.5,2900,68127,0.13861821591854095,0.0001,,
8.68,0.05,10763,274695,25,106.95,2910,68423,0.1375717669725418,0.0001,,
8.68,0.05,10813,275967,25,107.39,2920,68741,0.03719216585159302,0.0001,,
8.81,0.05,10848,276859,25,108.61,2930,68964,0.12154972553253174,0.0001,,
8.95,0.05,10903,278226,25,109.47,2940,69306,0.07208125293254852,0.0001,,
8.93,0.05,10944,279263,25,109.16,2950,69565,0.15867288410663605,0.0001,,
8.86,0.05,10994,280485,25,108.26,2960,69871,0.15566246211528778,0.0001,,
8.97,0.05,11031,281400,25,109.45,2970,70099,0.1217338964343071,0.0001,,
9.07,0.05,11064,282239,25,108.89,2980,70309,0.1344439834356308,0.0001,,
9.16,0.05,11105,283276,25,107.18,2990,70568,0.12193892896175385,0.0001,,
9.11,0.05,11142,284213,25,107.04,3000,70803,0.18763938546180725,0.0001,,
