rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
70.58,0.7340741199999999,3.64,1135,59,1150,67153,0.0001,0.03669771924614906,16538,,
70.58,0.73088632,3.59,1149,59,1160,67958,0.0001,0.2258603721857071,16739,,
71.75,0.72691444,3.63,1165,59,1170,68961,0.0001,0.05124502256512642,16990,,
71.91,0.7239880000000001,3.58,1178,59,1180,69700,0.0001,0.030530495569109917,17174,,
75.75,0.71943004,3.78,1197,59,1190,70851,0.0001,0.04692569747567177,17462,,
76.85,0.7165511199999999,3.87,1210,59,1200,71578,0.0001,0.2648079991340637,17644,,
78.94,0.7131138399999999,3.97,1224,59,1210,72446,0.0001,0.024743936955928802,17861,,
80.1,0.7096330000000002,3.86,1239,59,1220,73325,0.0001,0.029644787311553955,18081,,
82.83,0.7068887199999999,3.86,1250,59,1230,74018,0.0001,0.17379462718963623,18254,,
83.67,0.70387912,3.84,1263,59,1240,74778,0.0001,0.026009198278188705,18444,,
81.37,0.7018516000000001,3.72,1272,59,1250,75290,0.0001,0.03257054463028908,18572,,
81.18,0.6987390399999999,3.78,1285,59,1260,76076,0.0001,0.034748323261737823,18768,,
81.66,0.69457708,3.82,1303,59,1270,77127,0.0001,0.18282198905944824,19031,,
82.34,0.6913813600000001,3.85,1317,59,1280,77934,0.0001,0.04810753092169762,19233,,
79.05,0.6881262400000001,3.83,1331,59,1290,78756,0.0001,0.18147148191928864,19438,,
76.78,0.68614624,3.69,1340,59,1300,79256,0.0001,0.04512474685907364,19563,,
74.32,0.68368312,3.51,1350,59,1310,79878,0.0001,0.06765320152044296,19719,,
71.88,0.6811685199999999,3.49,1361,59,1320,80513,0.0001,0.28148123621940613,19878,,
73.53,0.6777708400000001,3.7,1375,59,1330,81371,0.0001,0.049493152648210526,20092,,
70.25,0.6760601199999999,3.61,1383,59,1340,81803,0.0001,0.11375042796134949,20200,,
69.23,0.6744365200000001,3.59,1390,59,1350,82213,0.0001,0.04865330085158348,20303,,
67.08,0.6721753600000001,3.57,1400,59,1360,82784,0.0001,0.3060498833656311,20445,,
67.0,0.6680450800000001,3.52,1418,59,1370,83827,0.0001,0.036344919353723526,20706,,
68.23,0.6643622800000002,3.6,1434,59,1380,84757,0.0001,0.06436026841402054,20939,,
70.05,0.6603864400000001,3.61,1451,59,1390,85761,0.0001,0.2125919759273529,21190,,
73.45,0.6570600400000001,3.8,1466,59,1400,86601,0.0001,0.04844704270362854,21400,,
75.28,0.6538722400000001,3.97,1480,59,1410,87406,0.0001,0.05086325854063034,21601,,
79.26,0.6497815600000001,4.14,1498,59,1420,88439,0.0001,0.028746213763952255,21859,,
80.72,0.64580572,3.97,1515,59,1430,89443,0.0001,0.04493337869644165,22110,,
82.67,0.6433228000000001,4.03,1526,59,1440,90070,0.0001,0.05741884931921959,22267,,
85.93,0.64040824,4.1,1538,59,1450,90806,0.0001,0.20214533805847168,22451,,
89.63,0.6366818799999999,4.14,1554,59,1460,91747,0.0001,0.032474398612976074,22686,,
89.19,0.63272584,4.21,1571,59,1470,92746,0.0001,0.22644288837909698,22936,,
90.63,0.6284727999999999,4.25,1589,59,1480,93820,0.0001,0.2896609902381897,23204,,
91.17,0.6242831199999999,4.34,1607,59,1490,94878,0.0001,0.024474062025547028,23469,,
94.74,0.619543,4.4,1627,59,1500,96075,0.0001,0.2149582803249359,23768,,
